SH, 09, 2025121200,   ,chunshu,   0, 114S, 1134E,  15, 1008, DB,     INVEST
SH, 09, 2025121206,   ,chunshu,   0, 117S, 1135E,  15, 1008, DB,     INVEST
SH, 09, 2025121212,   ,chunshu,   0, 120S, 1135E,  15, 1008, DB,     INVEST
SH, 09, 2025121218,   ,chunshu,   0, 123S, 1131E,  15, 1005, DB,     INVEST
SH, 09, 2025121300,   ,chunshu,   0, 121S, 1127E,  15, 1005, DB,     INVEST
SH, 09, 2025121306,   ,chunshu,   0, 119S, 1127E,  15, 1005, DB,     INVEST
SH, 09, 2025121312,   ,chunshu,   0, 121S, 1129E,  15, 1005, DB,     INVEST
SH, 09, 2025121318,   ,chunshu,   0, 125S, 1133E,  15, 1005, DB,     INVEST
SH, 09, 2025121400,   ,chunshu,   0, 128S, 1134E,  20, 1005, DB,     INVEST
SH, 09, 2025121406,   ,chunshu,   0, 128S, 1132E,  20, 1005, DB,     INVEST
SH, 09, 2025121412,   ,chunshu,   0, 122S, 1133E,  20, 1005, DB,     INVEST
SH, 09, 2025121418,   ,chunshu,   0, 120S, 1136E,  20, 1005, DB,     INVEST
SH, 09, 2025121500,   ,chunshu,   0, 119S, 1142E,  20, 1005, DB,     INVEST
SH, 09, 2025121506,   ,chunshu,   0, 125S, 1146E,  25, 1005, DB,     INVEST
SH, 09, 2025121512,   ,chunshu,   0, 128S, 1139E,  25, 1005, DB,     INVEST
SH, 09, 2025121518,   ,chunshu,   0, 127S, 1134E,  25, 1005, DB,     INVEST
SH, 09, 2025121600,   ,chunshu,   0, 123S, 1132E,  25, 1005, DB,     INVEST
SH, 09, 2025121606,   ,chunshu,   0, 115S, 1126E,  30, 1002, TD,     INVEST
SH, 09, 2025121612,   ,chunshu,   0, 113S, 1133E,  30, 1002, TD,     INVEST
SH, 09, 2025121618,   ,chunshu,   0, 117S, 1134E,  30, 1002, TD,     INVEST
SH, 09, 2025121700,   ,chunshu,   0, 119S, 1134E,  30, 1002, TD,     INVEST
SH, 09, 2025121706,   ,chunshu,   0, 121S, 1133E,  30, 1002, TD,     INVEST
SH, 09, 2025121712,   ,chunshu,   0, 128S, 1128E,  30, 1002, TD,     INVEST
SH, 09, 2025121718,   ,chunshu,   0, 128S, 1118E,  30, 1002, TD,     INVEST
SH, 09, 2025121800,   ,chunshu,   0, 124S, 1109E,  35, 1000, TS,     INVEST
SH, 09, 2025121806,   ,chunshu,   0, 122S, 1103E,  35, 1000, TS,       NINE
SH, 09, 2025121812,   ,chunshu,   0, 122S, 1098E,  35, 1000, TS,       NINE
SH, 09, 2025121818,   ,chunshu,   0, 123S, 1094E,  40,  998, TS,       NINE
SH, 09, 2025121900,   ,chunshu,   0, 125S, 1089E,  40,  998, TS,       NINE
SH, 09, 2025121906,   ,chunshu,   0, 125S, 1082E,  40,  998, TS,       NINE
SH, 09, 2025121912,   ,chunshu,   0, 123S, 1079E,  35, 1000, TS,       NINE
SH, 09, 2025121918,   ,chunshu,   0, 122S, 1076E,  35, 1000, TS,       NINE
SH, 09, 2025122000,   ,chunshu,   0, 121S, 1070E,  40,  998, TS,       NINE
SH, 09, 2025122006,   ,chunshu,   0, 121S, 1062E,  40,  998, TS,       NINE
SH, 09, 2025122012,   ,chunshu,   0, 124S, 1055E,  40,  998, TS,       NINE
SH, 09, 2025122018,   ,chunshu,   0, 124S, 1050E,  40,  998, TS,       NINE
SH, 09, 2025122100,   ,chunshu,   0, 124S, 1046E,  45,  995, TS,       NINE
SH, 09, 2025122106,   ,chunshu,   0, 124S, 1039E,  45,  995, TS,       NINE
SH, 09, 2025122112,   ,chunshu,   0, 122S, 1032E,  45,  995, TS,       NINE
SH, 09, 2025122118,   ,chunshu,   0, 122S, 1027E,  40,  998, TS,       NINE
SH, 09, 2025122200,   ,chunshu,   0, 121S, 1023E,  40,  998, TS,       NINE
SH, 09, 2025122206,   ,chunshu,   0, 125S, 1019E,  40,  998, TS,       NINE
SH, 09, 2025122212,   ,chunshu,   0, 129S, 1012E,  35,  998, TS,       NINE
SH, 09, 2025122218,   ,chunshu,   0, 129S, 1005E,  35,  998, TS,       NINE
SH, 09, 2025122300,   ,chunshu,   0, 126S, 1001E,  35,  998, TS,       NINE
SH, 09, 2025122306,   ,chunshu,   0, 125S,  997E,  40,  998, TS,      GRANT
SH, 09, 2025122312,   ,chunshu,   0, 125S,  993E,  40,  998, TS,      GRANT
SH, 09, 2025122318,   ,chunshu,   0, 123S,  988E,  35, 1000, TS,      GRANT
SH, 09, 2025122400,   ,chunshu,   0, 122S,  982E,  40,  998, TS,      GRANT
SH, 09, 2025122406,   ,chunshu,   0, 121S,  981E,  45,  995, TS,      GRANT
SH, 09, 2025122412,   ,chunshu,   0, 119S,  980E,  40,  995, TS,      GRANT
SH, 09, 2025122418,   ,chunshu,   0, 119S,  973E,  40,  998, TS,      GRANT
SH, 09, 2025122500,   ,chunshu,   0, 120S,  965E,  45,  995, TS,      GRANT
SH, 09, 2025122506,   ,chunshu,   0, 122S,  958E,  50,  992, TS,      GRANT
SH, 09, 2025122512,   ,chunshu,   0, 123S,  951E,  60,  988, TS,      GRANT
SH, 09, 2025122518,   ,chunshu,   0, 123S,  942E,  65,  985, TY,      GRANT
SH, 09, 2025122600,   ,chunshu,   0, 122S,  934E,  55,  992, TS,      GRANT
SH, 09, 2025122606,   ,chunshu,   0, 120S,  925E,  55,  990, TS,      GRANT
SH, 09, 2025122612,   ,chunshu,   0, 118S,  917E,  45,  995, TS,      GRANT
SH, 09, 2025122618,   ,chunshu,   0, 117S,  909E,  50,  995, TS,      GRANT
SH, 09, 2025122700,   ,chunshu,   0, 118S,  901E,  55,  992, TS,      GRANT
SH, 09, 2025122706,   ,chunshu,   0, 119S,  892E,  65,  985, TY,      GRANT
SH, 09, 2025122712,   ,chunshu,   0, 120S,  883E,  65,  985, TY,      GRANT
SH, 09, 2025122718,   ,chunshu,   0, 121S,  875E,  70,  980, TY,      GRANT
