SH, B0, 2025080112,   ,chunshu,   0,  48S,  930E,  15, 1008, DB,
SH, B0, 2025080118,   ,chunshu,   0,  50S,  941E,  25, 1008, DB,
SH, B0, 2025080200,   ,chunshu,   0,  50S,  950E,  30, 1005, TD,
SH, B0, 2025080206,   ,chunshu,   0,  50S,  954E,  35, 1002, TS,
SH, B0, 2025080212,   ,chunshu,   0,  52S,  958E,  45,  998, TS,
SH, B0, 2025080218,   ,chunshu,   0,  55S,  959E,  45,  995, TS,
SH, B0, 2025080300,   ,chunshu,   0,  63S,  960E,  45,  995, TS,
SH, B0, 2025080306,   ,chunshu,   0,  76S,  954E,  40,  995, TS,
SH, B0, 2025080312,   ,chunshu,   0,  85S,  948E,  35, 1000, TS,
SH, B0, 2025080318,   ,chunshu,   0,  87S,  941E,  35, 1002, TS,
SH, B0, 2025080400,   ,chunshu,   0,  89S,  932E,  30, 1005, TD,
SH, B0, 2025080406,   ,chunshu,   0,  89S,  925E,  25, 1005, TD,
SH, B0, 2025080412,   ,chunshu,   0,  91S,  920E,  25, 1005, TD,
SH, B0, 2025080418,   ,chunshu,   0,  96S,  921E,  25, 1005, TD,
SH, B0, 2025080500,   ,chunshu,   0, 103S,  915E,  25, 1005, TD,
SH, B0, 2025080506,   ,chunshu,   0, 109S,  913E,  25, 1005, TD,
SH, B0, 2025080512,   ,chunshu,   0, 115S,  908E,  20, 1002, LO,
SH, B0, 2025080518,   ,chunshu,   0, 119S,  908E,  20, 1002, LO, 
SH, B0, 2025080600,   ,chunshu,   0, 122S,  911E,  20, 1000, LO, 
SH, B0, 2025080606,   ,chunshu,   0, 106S,  908E,  20, 1000, LO,90S
