IO, 05,2028093018,   ,chunshu,   0, 226N,  740E,  15,    0, LO,    05A
IO, 05,2028100100,   ,chunshu,   0, 226N,  733E,  15,    0, LO,    05A
IO, 05,2028100106,   ,chunshu,   0, 224N,  725E,  20,    0, LO,    05A
IO, 05,2028100112,   ,chunshu,   0, 221N,  719E,  20,    0, LO,    05A
IO, 05,2028100118,   ,chunshu,   0, 218N,  715E,  25,    0, LO,    05A
IO, 05,2028100200,   ,chunshu,   0, 215N,  716E,  20,    0, LO,    05A
IO, 05,2028100206,   ,chunshu,   0, 213N,  719E,  20,    0, DB,    05A
IO, 05,2028100212,   ,chunshu,   0, 210N,  717E,  20,    0, DB,    05A
IO, 05,2028100218,   ,chunshu,   0, 207N,  714E,  25,    0, TD,    05A
IO, 05,2028100300,   ,chunshu,   0, 210N,  711E,  25,    0, TD,    05A
IO, 05,2028100306,   ,chunshu,   0, 212N,  707E,  20,    0, DB,    05A
IO, 05,2028100312,   ,chunshu,   0, 214N,  702E,  20,    0, DB,    05A
IO, 05,2028100318,   ,chunshu,   0, 209N,  702E,  20,    0, DB,    05A
IO, 05,2028100400,   ,chunshu,   0, 208N,  705E,  20,    0, DB,    05A
IO, 05,2028100406,   ,chunshu,   0, 213N,  704E,  20,    0, DB,    05A
IO, 05,2028100412,   ,chunshu,   0, 215N,  706E,  20,    0, DB,    05A
IO, 05,2028100418,   ,chunshu,   0, 217N,  708E,  15,    0, DB,    05A
IO, 05,2028100500,   ,chunshu,   0, 217N,  710E,  15,    0, DB,    05A
IO, 05,2028100506,   ,chunshu,   0, 216N,  711E,  20,    0, DB,    05A
IO, 05,2028100512,   ,chunshu,   0, 214N,  712E,  20,    0, DB,    05A
IO, 05,2028100518,   ,chunshu,   0, 211N,  712E,  25,    0, TD,    05A
IO, 05,2028100600,   ,chunshu,   0, 209N,  712E,  25,    0, TD,    05A
IO, 05,2028100606,   ,chunshu,   0, 207N,  712E,  30,    0, TD,    05A
IO, 05,2028100612,   ,chunshu,   0, 205N,  713E,  35,    0, TS,    05A
IO, 05,2028100618,   ,chunshu,   0, 203N,  715E,  40,    0, TS,    05A
IO, 05,2028100700,   ,chunshu,   0, 201N,  718E,  50,    0, TS,    05A
IO, 05,2028100706,   ,chunshu,   0, 201N,  720E,  55,    0, TS,    05A
IO, 05,2028100712,   ,chunshu,   0, 203N,  721E,  50,    0, TS,    05A
IO, 05,2028100718,   ,chunshu,   0, 205N,  720E,  40,    0, TS,    05A
IO, 05,2028100800,   ,chunshu,   0, 208N,  719E,  30,    0, TD,    05A
IO, 05,2028100806,   ,chunshu,   0, 208N,  715E,  30,    0, TD,    05A
IO, 05,2028100812,   ,chunshu,   0, 208N,  711E,  25,    0, TD,    05A
IO, 05,2028100818,   ,chunshu,   0, 207N,  706E,  20,    0, DB,    05A
IO, 05,2028100900,   ,chunshu,   0, 206N,  703E,  20,    0, DB,    05A
IO, 05,2028100906,   ,chunshu,   0, 205N,  698E,  20,    0, DB,    05A
IO, 05,2028100912,   ,chunshu,   0, 205N,  693E,  25,    0, TD,    05A
IO, 05,2028100918,   ,chunshu,   0, 205N,  688E,  25,    0, TD,    05A
IO, 05,2028101000,   ,chunshu,   0, 206N,  683E,  30,    0, TD,    05A
IO, 05,2028101006,   ,chunshu,   0, 208N,  678E,  25,    0, TD,    05A
IO, 05,2028101012,   ,chunshu,   0, 207N,  673E,  25,    0, TD,    05A
IO, 05,2028101018,   ,chunshu,   0, 209N,  667E,  30,    0, TD,    05A
IO, 05,2028101100,   ,chunshu,   0, 211N,  660E,  35,    0, TS,    05A
IO, 05,2028101106,   ,chunshu,   0, 212N,  653E,  35,    0, TS,    05A
IO, 05,2028101112,   ,chunshu,   0, 212N,  648E,  30,    0, TD,    05A
IO, 05,2028101118,   ,chunshu,   0, 211N,  642E,  30,    0, TD,    05A
IO, 05,2028101200,   ,chunshu,   0, 211N,  635E,  25,    0, TD,    05A
IO, 05,2028101206,   ,chunshu,   0, 210N,  630E,  25,    0, TD,    05A
IO, 05,2028101212,   ,chunshu,   0, 208N,  623E,  25,    0, LO,    05A
IO, 05,2028101218,   ,chunshu,   0, 207N,  618E,  25,    0, LO,    05A
IO, 05,2028101300,   ,chunshu,   0, 206N,  613E,  30,    0, TD,    05A
IO, 05,2028101306,   ,chunshu,   0, 206N,  607E,  35,    0, TS,    05A
IO, 05,2028101312,   ,chunshu,   0, 207N,  600E,  40,    0, TS,    05A
IO, 05,2028101318,   ,chunshu,   0, 209N,  595E,  40,    0, TS,    05A
IO, 05,2028101400,   ,chunshu,   0, 212N,  591E,  40,    0, TS,    05A
IO, 05,2028101406,   ,chunshu,   0, 217N,  589E,  30,    0, TD,    05A
IO, 05,2028101412,   ,chunshu,   0, 223N,  587E,  25,    0, LO,    05A
IO, 05,2028101418,   ,chunshu,   0, 228N,  581E,  15,    0, LO,    05A
